id,booking_status_pred,Prob
42100,0,0.0675843
42101,0,0.06244727
42102,0,0.4443215
42103,0,0.2055676
42104,0,0.48050484
42105,1,0.69792753
42106,0,0.4845837
42107,1,0.72262007
42108,0,2.2855545e-07
42109,1,0.5167303
42110,1,0.64952433
42111,0,0.2583493
42112,0,0.34277323
42113,0,0.18403971
42114,0,0.25040278
42115,1,0.7220687
42116,0,0.08011104
42117,0,0.253815
42118,1,0.9620021
42119,1,0.95310664
42120,1,0.96647966
42121,0,0.29272
42122,0,0.021215793
42123,1,0.5764823
42124,1,0.94774175
42125,0,0.004253775
42126,0,5.1208262e-23
42127,0,0.017676096
42128,0,0.319927
42129,1,0.6624047
42130,1,0.8902266
42131,0,0.35388374
42132,0,0.30687156
42133,1,0.9713284
42134,0,0.40426442
42135,0,3.5454417e-12
42136,0,0.0384358
42137,0,0.38779482
42138,1,0.61515725
42139,1,0.9167234
42140,0,0.004159784
42141,0,0.20771702
42142,1,0.61005294
42143,1,0.8890024
42144,0,0.093044
42145,1,0.7817052
42146,0,0.08494573
42147,1,0.80159694
42148,1,0.6608074
42149,0,0.37984905
42150,0,0.28233442
42151,1,0.7477974
42152,1,0.75751734
42153,0,0.15147507
42154,1,0.54592294
42155,0,0.37712398
42156,0,0.33002445
42157,0,0.038945165
42158,0,0.24919617
42159,1,0.8078384
42160,1,0.5798764
42161,0,1.9275378e-05
42162,0,0.0528936
42163,0,0.044902597
42164,1,0.78692913
42165,0,0.47415876
42166,1,0.8032659
42167,0,1.1770903e-08
42168,1,0.79950786
42169,1,0.7251716
42170,0,0.016207062
42171,0,0.17511846
42172,0,0.22274615
42173,1,0.8658121
42174,0,0.14270458
42175,0,0.18419231
42176,1,0.959822
42177,0,0.18094547
42178,0,0.046979785
42179,1,0.9443696
42180,1,0.7860783
42181,1,0.65813386
42182,1,0.84928703
42183,1,0.58026737
42184,0,0.08097216
42185,0,0.15576713
42186,0,0.20493294
42187,0,0.4170331
42188,0,0.03318419
42189,0,0.16786233
42190,0,0.18822551
42191,0,0.3156662
42192,0,0.24126148
42193,0,0.16068971
42194,0,0.3489808
42195,1,0.96461457
42196,1,0.8028929
42197,0,0.4859349
42198,1,0.71004677
42199,1,0.55086654
42200,1,0.53101975
42201,1,0.54835314
42202,0,0.49687287
42203,0,0.28082493
42204,1,0.7622627
42205,0,0.17490207
42206,0,0.016640037
42207,1,0.7093223
42208,0,0.11956185
42209,0,0.2083159
42210,0,0.19118182
42211,0,0.24323633
42212,0,0.23918061
42213,1,0.8001757
42214,1,0.54712135
42215,0,0.25919384
42216,1,0.8714424
42217,0,0.17393862
42218,0,0.027644372
42219,0,0.14926313
42220,0,0.3236243
42221,1,0.7002751
42222,0,0.45656788
42223,0,0.1513862
42224,1,0.9720915
42225,1,0.69221646
42226,1,0.8264123
42227,0,0.0743968
42228,1,0.7339699
42229,0,0.0857557
42230,0,0.25284067
42231,1,0.7641941
42232,1,0.6025939
42233,0,0.21324056
42234,1,0.6130317
42235,0,0.11978148
42236,0,0.07646231
42237,1,0.80782837
42238,0,0.34500527
42239,0,0.28593314
42240,1,0.94451535
42241,1,0.7209749
42242,0,0.15258192
42243,1,0.9716618
42244,0,0.20725897
42245,1,0.6488282
42246,1,0.94151855
42247,1,0.74490595
42248,0,0.4849967
42249,1,0.8287006
42250,0,0.38166165
42251,0,0.24767421
42252,1,0.7540318
42253,1,0.66229707
42254,0,0.07852775
42255,0,0.05441502
42256,1,0.7816682
42257,1,0.69131243
42258,0,0.3227311
42259,1,0.7598008
42260,1,0.7746249
42261,1,0.7840329
42262,1,0.9210657
42263,1,0.9760762
42264,0,0.10006647
42265,1,0.76049966
42266,0,0.061060857
42267,0,0.22092818
42268,1,0.7037877
42269,0,0.124546416
42270,1,0.9163731
42271,1,0.8036875
42272,0,0.08879961
42273,0,0.13085636
42274,1,0.78542364
42275,0,0.3390157
42276,0,0.08384671
42277,0,0.064379364
42278,0,0.076669626
42279,0,0.2607299
42280,0,0.30540788
42281,0,0.004354211
42282,0,0.35823622
42283,0,0.15315016
42284,0,0.43378478
42285,0,0.05659672
42286,0,0.09240282
42287,1,0.70707256
42288,0,0.34606034
42289,1,0.85854346
42290,0,0.044957902
42291,1,0.8841976
42292,0,0.13372383
42293,1,0.8066537
42294,1,0.9709972
42295,0,0.13243644
42296,0,0.07272722
42297,0,0.23788255
42298,0,0.09049894
42299,1,0.8029719
42300,0,0.41130328
42301,0,0.24068527
